CASENUM HOUR LGT_COND WEATHER ALCOHOL TYP_INT REST_USE AIR_BAG SEVERITY VTRAFWAY VNUM_LAN VSPD_LIM VALIGN VSURCOND
201311109640 13 1 1 2 2 3 20 0 1 2 35 1 2
201311109649 20 3 1 2 1 8 1 0 1 2 35 1 1
201311109707 5 1 1 2 2 8 1 1 1 4 50 1 1
201311109741 15 1 1 2 2 3 20 0 1 2 45 1 1
201311109765 11 1 1 2 2 3 20 0 1 4 40 1 1
201311109842 15 1 1 1 1 8 8 1 1 2 40 1 1
201311109981 13 1 10 2 1 8 1 0 1 2 45 3 1
201311110017 15 1 1 2 1 3 20 1 1 2 45 1 1
201311110085 14 1 1 2 1 3 20 0 1 2 45 1 1
201311110266 6 2 2 2 2 8 1 1 1 4 35 1 2
201311110278 22 3 1 1 2 8 1 1 1 2 35 1 1
201311110614 17 1 1 2 1 8 8 1 1 4 45 1 1
201311110646 16 1 1 2 3 3 20 0 1 3 40 1 1
201311110652 18 5 1 1 1 8 1 1 1 2 45 1 1
201311110653 19 3 2 2 1 7 1 1 1 2 35 1 2
201311110674 0 3 1 2 2 3 20 0 3 3 40 1 1
201311110676 10 1 1 2 3 8 1 0 1 2 40 1 1
201311110855 6 4 1 2 1 3 20 0 1 2 45 1 1
201311110861 15 1 10 2 1 3 20 1 1 2 35 3 2
201311110862 7 1 1 1 2 8 1 1 1 2 45 1 1
201311110866 6 4 1 2 2 7 1 1 3 2 35 1 1
201311110898 7 1 10 2 1 3 20 1 1 2 40 1 1
201311111053 21 3 1 1 1 3 20 0 2 2 35 1 1
201311111168 14 1 10 2 1 3 20 0 1 3 25 3 1
201311111176 19 3 1 2 2 8 8 0 1 2 40 1 1
201311111247 6 5 1 2 2 3 0 0 1 2 40 1 1
201311111375 3 3 1 2 1 7 1 1 1 2 45 1 1
201311111377 6 4 1 2 1 8 1 1 1 2 45 1 1
201311111600 6 4 2 2 3 8 1 1 1 4 50 1 2
201311111688 14 1 1 1 1 3 20 0 1 2 35 1 1
201311111829 19 3 2 1 3 3 20 1 1 2 35 1 2
201311111933 18 3 1 2 2 3 20 1 1 2 25 1 1
201311111980 16 1 4 2 3 3 20 0 1 2 35 1 3
201311112074 21 3 2 2 1 3 20 1 2 3 50 4 2
201311112077 4 3 10 2 1 7 1 1 1 2 45 2 1
201311112079 13 1 1 2 1 8 2 1 1 2 50 1 1
201311112138 19 3 4 2 1 8 8 0 1 4 50 1 3
201311112234 20 3 1 2 3 8 1 1 1 4 40 1 1
201311112248 11 1 10 2 2 8 1 0 6 2 35 1 2
201311112271 12 1 1 2 1 3 20 1 1 2 35 1 1
201311112302 16 3 1 2 3 3 20 1 1 2 40 2 1
201311112313 21 3 1 2 3 8 8 1 1 3 35 1 1
201311112527 19 3 2 2 2 3 20 1 1 2 45 1 2
201311112539 7 1 5 2 1 3 20 0 1 2 40 1 2
201311112626 12 1 2 2 2 3 20 0 1 4 45 1 2
201311112636 9 1 1 2 3 3 20 1 1 2 45 1 3
201311112663 10 1 1 2 2 3 20 1 2 2 50 1 2
201311112754 22 3 1 1 2 3 20 1 1 2 45 1 1
201311112806 23 2 2 1 1 7 1 1 1 2 45 3 2
201311112864 6 1 1 2 1 8 1 1 1 2 50 1 1
201311112893 17 2 1 2 1 7 0 0 1 2 35 1 1
201311112929 22 3 1 2 1 8 1 1 1 4 50 1 1
201311112939 17 3 1 2 1 3 20 0 1 2 35 1 1
201311112955 15 1 1 1 1 8 1 1 1 2 45 1 1
201311113445 19 2 10 1 1 7 20 1 1 2 35 1 1
201311113907 17 2 1 2 1 3 20 1 1 4 35 1 1
201311115515 23 2 1 1 1 7 0 1 1 2 25 4 1
201311115955 19 2 1 1 3 3 0 1 1 2 50 1 1
201311526900 4 2 1 2 1 7 8 1 2 2 55 1 1
201311528196 4 2 1 2 1 1 1 1 1 2 45 1 1
201311528281 8 1 2 2 2 3 0 0 1 2 35 1 2
201311528371 12 1 1 2 1 7 1 1 1 2 25 1 1
201311528398 13 1 1 2 2 3 20 0 1 4 35 1 1
201311528484 8 1 1 2 2 3 0 0 1 2 25 1 1
201311528833 13 1 2 2 1 3 1 0 3 2 55 1 2
201311528851 12 1 1 2 2 3 8 1 1 2 35 1 1
201311528877 20 3 2 2 1 3 20 0 6 2 55 2 2
201311528925 18 1 1 2 1 3 20 0 1 2 25 1 1
201311530039 15 1 1 2 1 3 0 0 1 2 25 1 1
201311530083 2 2 1 1 1 7 1 0 3 2 55 1 1
201311530176 9 1 2 2 4 3 20 0 1 2 35 1 2
201311530421 16 1 1 2 2 3 8 0 5 4 45 1 1
201311530432 4 3 1 2 1 3 1 0 3 2 55 1 1
201311530434 15 1 2 2 1 3 20 0 3 2 55 1 2
201311530519 14 1 1 2 1 7 1 1 1 2 35 2 1
201311530536 11 1 1 2 1 3 20 1 6 2 55 2 1
201311530569 11 1 1 2 1 3 8 1 5 2 35 1 1
201311530583 15 1 1 2 1 3 1 1 1 2 40 2 1
201311530680 16 1 1 2 2 3 20 0 1 5 45 1 1
201311530777 12 1 1 2 1 3 1 0 3 2 55 1 1
201311530834 10 1 1 2 1 3 0 0 1 2 35 1 1
201311530921 21 2 2 2 1 3 8 0 3 3 50 2 2
201311530948 20 3 1 1 1 3 20 0 2 1 25 1 1
201311531028 10 1 1 2 2 3 2 1 3 2 45 1 1
201311531053 10 1 1 2 1 7 1 0 5 2 35 1 1
