enrolled,invited,age,female,self.plus1,self.plus2,hispanic,race.white,race.black,race.nwother,english,signed.self.up,phone,pobox,first.day,income
0,0,27,1,0,0,0,1,0,0,1,1,1,1,0,0
1,1,61,0,0,0,0,1,0,0,1,1,1,0,0,42.8963623
1,1,34,1,0,0,0,1,0,0,1,1,1,0,0,0
0,0,24,1,0,0,0,1,0,0,1,1,0,0,1,25.73781776
0,1,60,0,0,0,0,1,0,0,1,1,1,0,0,103.8781128
1,1,28,1,1,0,0,1,0,0,1,0,1,0,0,94.37199402
0,1,49,1,0,0,0,1,0,0,1,1,1,0,0,197.3232727
0,0,50,1,0,0,0,1,0,0,1,1,1,0,0,57.71006393
0,0,47,1,0,0,0,1,0,1,1,1,1,0,0,77.2134552
0,1,55,0,0,0,0,1,0,0,1,1,1,0,0,180.1647186
0,1,29,1,0,0,0,1,0,0,1,1,1,0,0,94.37199402
1,0,48,1,0,0,0,0,1,0,1,1,1,0,0,8.57927227
1,1,29,1,1,0,0,1,0,0,1,1,1,0,0,103.8781128
0,0,61,0,0,0,1,0,0,0,0,1,1,0,0,80.79409027
0,0,35,1,1,0,0,1,0,0,1,1,1,0,0,8.57927227
1,0,28,0,1,0,0,1,0,0,1,0,1,0,0,75.09557343
0,0,55,0,0,0,0,1,1,1,1,1,1,0,0,20.4806118
0,0,34,0,0,0,0,1,0,0,1,1,1,0,0,128.6890869
0,1,61,1,1,0,0,0,0,1,1,1,1,0,0,28.34467125
0,1,48,1,0,0,0,1,0,0,1,1,1,0,0,180.1647186
0,0,27,1,0,0,0,1,0,0,1,1,1,0,0,214.4818115
0,1,34,0,1,0,0,0,0,1,1,0,1,0,0,47.78809357
1,1,47,1,1,0,0,1,0,0,1,1,0,0,0,28.34467125
0,1,45,0,0,0,1,0,0,0,1,1,1,0,0,85.03401184
0,0,59,0,1,0,1,1,0,0,0,1,1,0,0,145.8476257
0,1,24,0,0,0,1,1,0,1,1,1,1,1,0,61.4418335
0,0,60,1,0,0,0,1,0,0,1,1,1,0,1,80.79409027
0,1,23,0,1,0,0,1,0,0,1,0,1,0,0,111.5305405
0,1,60,1,0,0,0,1,0,0,1,1,1,0,0,102.4030609
1,1,27,1,0,0,0,1,0,0,1,1,1,0,0,42.8963623
0,0,55,1,0,0,0,1,0,0,1,1,1,0,0,103.8781128
0,0,58,1,0,0,0,1,0,0,1,1,1,0,0,17.00680351
0,1,25,1,0,0,0,1,0,0,1,1,1,0,0,153.0612183
0,0,50,0,0,0,0,1,0,0,1,1,1,0,0,0
1,1,40,1,0,0,0,1,0,0,1,1,1,0,0,5.668934345
1,1,53,1,0,0,0,1,0,0,1,1,1,0,0,62.35827637
0,1,31,1,0,1,0,1,0,0,1,0,0,0,0,107.7097473
1,0,48,1,0,0,0,1,0,0,1,1,1,0,0,103.8781128
1,1,37,1,0,0,0,1,0,0,1,1,1,0,0,61.4418335
0,1,35,0,0,0,0,0,0,1,1,1,1,0,0,85.03401184
